reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
5c746e75-c1b3-4bd8-9a2b-7024ef1a365e,Raufiur Rahim Rupon,https://play-lh.googleusercontent.com/a-/ALV-UjUGqijJ1-OR--_o5s0O7Ign7KlqfNMLYFxXh7cbR3MHmqE,good,5,0,5.359.1,2024-03-12 13:31:41,We appreciate your kind words. 🙌,2024-03-12 15:14:24,5.359.1
58cda94a-610e-41af-aee9-438d3939c06c,Jace Van Riper,https://play-lh.googleusercontent.com/a-/ALV-UjXeBU8frxpt9rcM7bpZpR7Zgl6heVJnJvnpiVJ1fgLKG1g,"I haven't used Bumble since December 2023. Deleted my account. As of today, i am still being charged $53.49/month. Went on my ""subscriptions"" tab on the Play store and I don't even have a subscription anymore. How am I being charged money for an account that is deleted and the subscription was also deleted. I want a refund for the past 3 months. I can provide documents and statements. This is ridiculous. Borderline invasive.",1,0,,2024-03-12 12:56:51,We’re so sorry to hear this happened and would like our Billing team to have a look. Please send us a message at http://bumble.com/contact or on Facebook or Twitter (@BumbleSupport). We look forward to hearing from you!,2024-03-13 00:16:53,
245a3e29-1927-4f3d-9fc7-7f4f4c550409,Joshua van Veen,https://play-lh.googleusercontent.com/a-/ALV-UjVhgNkaWQYclgi1DXY0x0yzOugqeSgd5ISwmIaW5oowB1I,it is useful for making friends and building your network. you have time limits on messages.,4,0,5.356.1,2024-03-12 11:47:53,We're so happy to hear that! We love that you enjoy buzzin' in the Hive. 🐝,2024-03-12 12:41:54,5.356.1
7cec5a8d-a0e3-4661-9b45-e2cd617ee2b3,Alex “Dee” Danger,https://play-lh.googleusercontent.com/a/ACg8ocLQu3uBnFfMWcKhJmyQpV4J9OJdRymyvfceyUz1yid6=mo,"Could not see option to unsubscribe . Only wanted to talk to one girl and I had already told bumble I wanted to unsubscribe, asked how, no response.",1,0,5.359.1,2024-03-12 11:33:31,"The steps to cancel your subscription will depend on your payment method. You can find instructions on our Help Center here: https://bumble.com/en/help/how-can-i-cancel-my-bumble-boost--bumble-premium-subscription. If you're unable to cancel your subscription following those steps, please reach out to bumble.com/contact.",2024-03-12 12:41:53,5.359.1
84104104-dce6-4fed-9c12-dc16af1f30e5,Howard Dell Smith,https://play-lh.googleusercontent.com/a-/ALV-UjX-MY3O95GSWEPKVEWosDnsmuFmICIC_XLqB1YV7e9JbeE,"Hi Bumble, it's time to change your match requirements, if men and women match let them both have the chance to say hello. You're not being fair to the men, people are busy some may come on the app once or twice a week. I had recently 4 matches two of these ladies came from my little island of Jamaica and I was excited to connect with a fellow Jamaican. After 24 hrs they disappeared. I can understand people have busy lives. Disappointed. Back to the drawing board for your next office meeting.",3,0,5.359.1,2024-03-12 09:39:17,"Thanks for your feedback, we'll be sure to pass this along to our Product Team to consider in the future. If you didn't already know, we provide each user with one free Extend per day, and with a Boost or Premium subscription users can Extend an unlimited number of matches and even Rematch with expired connections.",2024-03-12 10:53:53,5.359.1
716057a4-4800-42e7-9f84-b649c4fa1556,xandrer,https://play-lh.googleusercontent.com/a-/ALV-UjVLEUN6u7uew6DuI3dyJdlwpiUe97fMb740vNKDqukJPU4,"The app works fine, is the people (girls in this case) that don't understand how it works. They still ask in their profile to be contacted first after a match... One thing that could be improved in the app is that when you get a like it should be shown straight as the first ""card"" when you open the app, as it happens in the other apps and not just by buying the membership.",3,52,5.359.1,2024-03-12 09:29:13,We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2024-03-12 10:52:52,5.359.1
dfa31b2e-3431-42b4-a853-2b4c8401fa23,Prayas Ingale,https://play-lh.googleusercontent.com/a-/ALV-UjU4ntAP0PxxG8xgdw5zIkwuR4qNP25_ZXaftXRKgyKZO7o,Very bad experience i bought twice premium but i still didn't got match,1,1,,2024-03-12 09:19:30,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-03-12 10:52:22,
9b42fbf8-52b2-4384-a497-90d87df7644e,Khent Bryant Alvezo,https://play-lh.googleusercontent.com/a/ACg8ocJSIOL8NasO4XjjI7lWzvN058hbc2HVZTsBoIF4Efo=mo,Lahat may bayad amp,1,0,5.359.1,2024-03-12 08:59:39,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-13 00:16:24,5.359.1
acf5443f-a14a-46af-9641-75fc30c2bbcf,Steve Goodwin,https://play-lh.googleusercontent.com/a-/ALV-UjWTlXjtBrpi6zHeX68MK5dk4qVfAM-vT140xd8hW0-30A,"Paid for premium, likes reveal didn't work... It showed 50+ likes, but they just disappeared after I paid. Should be refunded for this, as it was a total mislead sale. Not as advertised.",1,3,5.359.1,2024-03-12 08:39:07,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-12 10:54:25,5.359.1
38b9f2d0-32a5-4ad3-a825-083aa9655f6c,Victory Paul,https://play-lh.googleusercontent.com/a-/ALV-UjUidiN6b7Yw_hzcNAN_YOZryrpCkdnMsgUJhLOsHOJTWg,"Why d extra debit? I subscribed for 3500 & bumble debited 7000, this isn't the first time it's happening, I need explanations before thunder fire y'all",2,0,5.355.0,2024-03-12 08:27:38,We’re so sorry to hear this happened and would like our Billing team to have a look. Please send us a message at http://bumble.com/contact or on Facebook or Twitter (@BumbleSupport). We look forward to hearing from you!,2024-03-12 10:54:23,5.355.0
302479c0-e6c7-4ec4-9ef2-d45c35ef0eb2,Jonathan Chakahwata,https://play-lh.googleusercontent.com/a-/ALV-UjVKy4xeUnNK-b2z-eEwqQoaN8hRo4YJL-2jSMhUEkgGtqc,Useless app,1,0,,2024-03-12 07:31:16,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-12 08:45:24,
e6bac0d1-5169-48ac-9598-d61ac81caad4,keshav saini,https://play-lh.googleusercontent.com/a/ACg8ocIoE5G0yCTvcLSR4ANBu4Ovc3diR3rDmfqr2ce8ACGl=mo,Very bad experience,1,0,5.361.0,2024-03-12 05:39:01,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-12 08:18:53,5.361.0
9f4cdeae-0c1d-4347-a7d6-124c60fceac2,Pat Mitchell,https://play-lh.googleusercontent.com/a/ACg8ocLAOtgOFv6lQeGSM7WA6WQ3CQuEXf1tFrmcYRAZqrnr=mo,👍👍👍👍👍👍,5,0,5.358.0,2024-03-12 05:14:27,Hey Pat! Thanks for leaving us a 5-star review. 🌟 It's great to know that you're buzzin' in the Hive! 🐝,2024-03-12 09:42:23,5.358.0
573e9d05-571d-4aa0-b940-25795e23a269,Brandon LaDue,https://play-lh.googleusercontent.com/a-/ALV-UjUpxGGdo208XK8mbrUiLuSvSbYyEzbe8UKganO30ZB8wMuA,I found love. What more could you ask for?,5,0,,2024-03-12 05:12:31,We're really happy to have connected you! It's an honor to see how your friendship has grown and to know that we played a small part in it. 💛,2024-03-12 08:33:23,
20554aa6-59c5-4399-8025-0c37b462b97b,Hungry g,https://play-lh.googleusercontent.com/a-/ALV-UjXoYTIaIq-Wcj3aemnvCpEd54jpUuIuFO9KJDq6kauqNA,pushing for paid subscription these guys remove the matches after 2nd day chat.happened more than 7-8 times worst app. reply to bumble- its not removed i already connected them with instagram some matches told me it happens in bumble,1,0,5.361.0,2024-03-12 05:04:06,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-12 08:33:52,5.361.0
f4da4b50-0521-4b34-a4b2-450005a6cd8f,Kirsten Goliath,https://play-lh.googleusercontent.com/a-/ALV-UjULbuKlZ5ZWyLxDZJ0dPAanC-ySYpqKsKFDGpLp7Qdnahs,"If you download this app, dont choose premium. Cancelling is a hassle and they dont help.",1,1,5.359.1,2024-03-12 03:22:09,"Hi Kirsten! The steps to cancel your subscription will depend on your payment method. You can find instructions on our Help Center here: https://bumble.com/en/help/how-can-i-cancel-my-bumble-boost--bumble-premium-subscription. If you're unable to cancel your subscription following those steps, please reach out to bumble.com/contact.",2024-03-12 04:25:52,5.359.1
2081cf3f-935a-4b7a-84ad-e2adaaece84f,Ashe Lightbringer,https://play-lh.googleusercontent.com/a-/ALV-UjWAkrNcvf4T9o62bpC6UMBhKARBss1iSSnMXMhclHCgnwM,They use your data for ai messaging now.,1,0,,2024-03-12 03:13:20,"Hi Ashe! We take our members' privacy very seriously at Bumble and follow our Privacy Policy: https://bumble.com/privacy. If you have any questions regarding your data, please reach out via bumble.com/contact.",2024-03-12 14:45:23,
debcfcfd-05b0-4b10-ad9e-2b6a785efa6e,Michael Rudy Inuhan,https://play-lh.googleusercontent.com/a/ACg8ocI965l-GUofq_ir8HZVEjAckzMRqIYna66FLxRcMHVw=mo,just try so far its fun,5,0,5.359.1,2024-03-12 02:02:25,Hi Michael! We appreciate your kind words. 🙌,2024-03-12 04:01:22,5.359.1
a0176448-577b-430d-9052-118ed76d655f,Roland Kincaid,https://play-lh.googleusercontent.com/a/ACg8ocKDLheHBZ9wt6D0rEBAw7hjV56i3hNX6ZS1r0WL9G6C=mo,It's a dating app. They want money to help you meet people.,4,0,5.359.1,2024-03-12 01:54:43,"Hi Roland! Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-12 04:01:52,5.359.1
ced0211c-0b9f-4b13-8732-dd012b01d82e,Akshay Trivedi,https://play-lh.googleusercontent.com/a-/ALV-UjW0Fbw4NSoY_VGZs_SyhYpWCO0KQ_T46uUScq_ogD1Aohk,Even after buying premium membership for a month I cant find matches plus not to forget the speed dating feature which they removed,1,1,5.359.1,2024-03-12 01:40:20,"Hi Akshay! Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-03-12 04:02:53,5.359.1
57b3b617-737c-47a7-b969-bfd8c9621a9d,Rainbow Krish,https://play-lh.googleusercontent.com/a/ACg8ocLoMqpwbAVGSVtzogZJPa-PfWG17lVk0sbwT5hMDN4A=mo,Terrible...always payment unable to proceed for the swipe... I am trying almost everyday till now it's not proceeding to payment.. Even tried with visa and MasterCard still cannot,1,1,5.359.1,2024-03-12 01:22:28,"Thanks for letting us know! We're reporting this to our team to fix. To help us out, please message us at @BumbleSupport on social media with a few more details—screenshots will help too. Or, you can contact us via bumble.com/contact",2024-03-12 04:01:54,5.359.1
595f540e-1843-4b02-bc0f-3ba5690cc259,Millie Snyder,https://play-lh.googleusercontent.com/a/ACg8ocJf0drOjNSTBKvUI2ElN6-1Ifz6LlSp5uQX5fVLLu4-=mo,"Can't message anyone unless you pay. I don't know if it's because I'm not in a huge city, but very few potential matches before I was getting ones ""outside of my preferences"" or ones 2+hours away, my only ones were no kids, and no smokers. Almost every guy that liked my profile said on their's that they wanted kids, so obviously didn't read mine where it's mentioned more than once. Not worth the money spent, wish I could get a refund for subscription, only used 2/6 months stopped using weeks ago",1,0,5.359.1,2024-03-12 01:09:11,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-12 08:34:54,5.359.1
776b2d20-680d-4ead-a732-7c87af2e32ba,Moses cooper,https://play-lh.googleusercontent.com/a-/ALV-UjVuG7OBq7khxua0Gydxpgk9mzuoSJ50ikXm-plCsBkR79s,hi I love beautiful and kind loving woman,5,0,5.359.1,2024-03-12 01:00:18,"Hi Moses! Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-12 04:07:23,5.359.1
870f4417-1be8-48ff-a3db-4e24d7f1d546,Keerthi Prakash Chandra,https://play-lh.googleusercontent.com/a/ACg8ocI11OuXTekPHgV73_LllA7db9-uJlnU3qGTpyRMqx5-=mo,Just a waste of money. The moment you unsubscribe you will get notification that multiple people have like your profile.lol. And when you check it's some random dudes or bot accounts.,1,1,5.359.1,2024-03-12 00:53:33,"Hi Keerthi! It sounds like you had Advanced Filters on, which could be why there are more people showing up now that your Premium subscription's ended. We suggest widening your filters/preferences; it should help you find more people.",2024-03-12 04:15:53,5.359.1
89d8eaea-3f14-4eb9-8ab2-758621d9449c,Brandon Brown,https://play-lh.googleusercontent.com/a-/ALV-UjXEfPk3p9zsisIXFcQXjP2OF5q95_IGVJbHaRzsABjOBkk,Even free it has be a pretty good experience. 10/10 would recommend 👌,5,0,5.359.1,2024-03-12 00:43:03,"Hi Brandon! Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-12 04:16:52,5.359.1
d896a4d7-d8af-4cea-8efe-f8dc16a11d8b,Suparna Roy,https://play-lh.googleusercontent.com/a/ACg8ocJndPhz4M6Ux1c-tD6lbITGtUwx__CvzeJU6f1WL3as=mo,I love this app but y I m being cancelled in accessing into bumble Pls kindly reply me,5,0,,2024-03-12 00:09:05,"Hi Suparna! We're sorry to hear you haven't heard back from us yet! Your message is important to us, so please rest assured we'll be replying to you shortly. We can't thank you enough for your patience. 💛",2024-03-12 04:19:23,
fc8dadcc-dda6-4498-9836-092f93a3038b,Papi Ace,https://play-lh.googleusercontent.com/a/ACg8ocJGyd5uk6pHa-ytg5hdyIAT4z1yqC5oAuMWzxQw0GAJ=mo,Kind Of Dope,5,0,5.359.1,2024-03-12 00:06:40,We appreciate your kind words. 🙌,2024-03-12 04:19:24,5.359.1
b14fce7f-4164-40e0-8c6b-f259ee16b0c3,Katileena M.,https://play-lh.googleusercontent.com/a-/ALV-UjW2VsMKQslOdJUgyIZtAnU9isgZbLcgfq4IVtwl2lAKDPA,One day all of my matches were gone. I'm not going to say it was bumble but things were going good with one guy and now I'm getting a lot of prompts for subscriptions,1,2,5.359.1,2024-03-11 23:34:26,"Thank you for your message, Katileena. For further assistance, please get in touch with our support team at: bumble.com/contact. Thank you. 💛",2024-03-12 03:53:52,5.359.1
